,,NO-N,NO-S
trans0.5,no-flex,99379796.9973412,209938089.692897
trans0.5,trans,58795935.90219088,167510541.76534578
trans0.5,stor,47979265.64927155,116149786.78117661
trans0.5,full-flex,16987615.675625075,61571493.300736316
trans0.9,no-flex,99379796.99734117,209938089.692897
trans0.9,trans,52225789.046723254,166151252.1763338
trans0.9,stor,47979265.649271555,116149786.78117666
trans0.9,full-flex,24772278.209477406,50370052.56461279
standard,no-flex,100053670.15175644,210699395.02786818
standard,trans,50273706.5140103,168252196.08677125
standard,stor,48632440.07558606,116393520.8254107
standard,full-flex,20663829.09496604,57988080.04559854
trans1.1,no-flex,99379796.99734125,209938089.69289693
trans1.1,trans,52134614.83968664,166076324.66017544
trans1.1,stor,47979265.649271525,116149786.78117664
trans1.1,full-flex,26894034.70643157,50129620.89455268
trans1.5,no-flex,99379796.99734116,209938089.692897
trans1.5,trans,52133046.730421856,166075481.20055157
trans1.5,stor,47979265.649271555,116149786.78117664
trans1.5,full-flex,27345206.57898712,50735730.19608746
